,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-03-17 21:00:00,2559.245425236197,3256.728691911063,242.62961271005943
2016-03-17 22:00:00,2467.982233010371,3140.593110029614,233.97739328394005
2016-03-17 23:00:00,2545.855458809242,3239.689494569383,241.36017511086044
2016-03-18 00:00:00,2604.348470042783,3314.1238829567214,246.90561304420345
2016-03-18 01:00:00,2792.86510263281,3554.0178455303712,264.77795819082075
2016-03-18 02:00:00,3183.6407017773695,4051.2933679493945,301.8254923358649
2016-03-18 03:00:00,4281.265581250143,5448.059150037095,405.8859692175716
2016-03-18 04:00:00,5088.891977318071,6475.791789698413,482.4531002008369
2016-03-18 05:00:00,4941.249979084014,6287.912219009891,468.45588035703753
2016-03-18 06:00:00,4861.967283134937,6187.022234749945,460.9394735196751
2016-03-18 07:00:00,4668.51750501919,5940.850673155675,442.5994408365108
2016-03-18 08:00:00,4458.154085100972,5673.155914919285,422.6559080280424
2016-03-18 09:00:00,4285.1416241632105,5452.991549267581,406.25343799628706
2016-03-18 10:00:00,4175.555319984708,5313.539171023833,395.86409343442165
2016-03-18 11:00:00,4102.262872174007,5220.271985574638,388.9155928914377
2016-03-18 12:00:00,4134.68068562874,5261.5247791387055,391.9889681316037
2016-03-18 13:00:00,4179.431362897774,5318.471570254319,396.2315622131371
2016-03-18 14:00:00,4333.76834434531,5514.870739613681,410.863500856536
2016-03-18 15:00:00,4433.840725009923,5642.216319746235,420.350876597918
2016-03-18 16:00:00,4419.746023507865,5624.280322544467,419.014626493498
2016-03-18 17:00:00,4370.414568250661,5561.504332338278,414.337751128028
2016-03-18 18:00:00,4230.172288305183,5383.0411601806845,401.0420625890491
2016-03-18 19:00:00,3829.882765646734,4873.658839650467,363.0925596235214
2016-03-18 20:00:00,3109.9958864291175,3957.5777825701557,294.8435855402705
2016-03-18 21:00:00,2591.310871153379,3297.5330855450857,245.66958169761492
2016-03-18 22:00:00,2717.4584495967993,3458.0602605009108,257.6290201321738
2016-03-18 23:00:00,2785.4653843442297,3544.601446999443,264.07642688600026
2016-03-19 00:00:00,2846.4249683406306,3622.1746348970905,269.85570858761673
2016-03-19 01:00:00,3033.884498318003,3860.723397680607,287.62783497640254
2016-03-19 02:00:00,3406.336985509888,4334.682123737332,322.93824398570075
2016-03-19 03:00:00,4505.018967595316,5732.793105615165,427.09893962523887
2016-03-19 04:00:00,5359.157878620036,6819.714536042319,508.07569595309025
2016-03-19 05:00:00,5185.088315069619,6598.204970600481,491.57300716350335
2016-03-19 06:00:00,5169.584143417354,6578.475373678535,490.1031320486413
2016-03-19 07:00:00,4958.515988424036,6309.883815582058,470.0927867349521
2016-03-19 08:00:00,4741.809952829892,6034.117858604871,449.5479413794947
