,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-07-10 23:00:00,535.7964805896257,36.646349703360315,7.836680936564744
2016-07-11 00:00:00,521.9906817032672,35.70208793186268,7.634754188506021
2016-07-11 01:00:00,647.5577096696703,44.29037356786491,9.471326039897265
2016-07-11 02:00:00,995.9897768015741,68.12174208661456,14.56757253852219
2016-07-11 03:00:00,1775.6887043835327,121.4500497530996,25.97162602412438
2016-07-11 04:00:00,2215.5020117632375,151.5315319022383,32.404435283709425
2016-07-11 05:00:00,2120.833676542494,145.05659404054032,31.019794725592472
2016-07-11 06:00:00,1770.4293524268242,121.09033098300527,25.89470154867344
2016-07-11 07:00:00,1706.6597099517403,116.72874089561148,24.961992283830767
2016-07-11 08:00:00,1517.9804585048412,103.82383001847724,22.20232672702821
2016-07-11 09:00:00,1422.654704289509,97.30392731051742,20.808070609479884
2016-07-11 10:00:00,1364.8018327657214,93.34702083947975,19.961901379519517
2016-07-11 11:00:00,1225.4290059129598,83.81447343197989,17.923402780069548
2016-07-11 12:00:00,1195.8451511564772,81.79105535019926,17.490702605657994
2016-07-11 13:00:00,1104.4639109086763,75.5409417198102,16.154139844697873
2016-07-11 14:00:00,1180.0670952863534,80.71189903991626,17.25992917930517
2016-07-11 15:00:00,1262.9018886045042,86.37746966890202,18.47148966765751
2016-07-11 16:00:00,1331.9308830362966,91.09877852639015,19.481123407951127
2016-07-11 17:00:00,1445.6643691001063,98.87769692968014,21.144615189577756
2016-07-11 18:00:00,1492.9985367104787,102.11516586052916,21.836935468636238
2016-07-11 19:00:00,1359.5424808090133,92.98730206938542,19.884976904068576
2016-07-11 20:00:00,1038.7220114498264,71.04445709363102,15.192583901561097
2016-07-11 21:00:00,663.3357655397942,45.369529878147915,9.702099466250093
2016-07-11 22:00:00,427.3223464825236,29.22715007016466,6.250113630389059
2016-07-11 23:00:00,468.08232414701035,32.01497053839576,6.846278315133862
2016-07-12 00:00:00,461.5081342011255,31.56532207577784,6.750122720820184
2016-07-12 01:00:00,569.9822683082276,38.98452170897348,8.336690026995868
2016-07-12 02:00:00,876.3395197864675,59.938140066968444,12.817540722013252
2016-07-12 03:00:00,1610.019117747231,110.1189084951281,23.548505047419702
2016-07-12 04:00:00,2005.7853524895067,137.18774594472677,29.33707182510311
2016-07-12 05:00:00,1917.0337882200597,131.11749169938486,28.038971301868457
2016-07-12 06:00:00,1603.444927801346,109.66926003251015,23.45234945310602
2016-07-12 07:00:00,1541.6475423100273,105.44256448390173,22.54848686655745
2016-07-12 08:00:00,1379.9224696412568,94.38121230350096,20.183059246440976
2016-07-12 09:00:00,1295.1154193393406,88.58074713572982,18.94265207979453
2016-07-12 10:00:00,1251.0683467019112,85.56810243618976,18.29840959789289
2016-07-12 11:00:00,1112.3529388437382,76.0805198749517,16.26952655787429
2016-07-12 12:00:00,1076.194894141371,73.60745333055316,15.740670789149062
2016-07-12 13:00:00,998.619452779928,68.30160147166173,14.606034776247661
2016-07-12 14:00:00,1066.3336092225434,72.93298063662628,15.596437397678544
