,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-08-10 18:00:00,1101.1748770495767,915.3597765954746,82.22385930922262,87.28972423489914
2016-08-10 19:00:00,1009.6717414922757,839.2971170968003,75.39139236757306,80.0363046047437
2016-08-10 20:00:00,775.4237144655852,644.5767087801942,57.90027699695021,61.46755035154579
2016-08-10 21:00:00,505.6201833366291,420.30052420124593,37.754260186143526,40.08032447063032
2016-08-10 22:00:00,412.0255475380183,342.49928962831626,30.765622571541986,32.66111239178562
2016-08-10 23:00:00,431.37192477013343,358.58110906517885,32.2102012963479,34.19469254216135
2016-08-11 00:00:00,459.6071780278148,382.0518725676269,34.318505381199756,36.432890599466454
2016-08-11 01:00:00,547.9730632231513,455.50666945491804,40.91671631342132,43.437621556587985
2016-08-11 02:00:00,853.8549735147003,709.7732740647723,63.75667723264984,67.68476717739331
2016-08-11 03:00:00,1500.6514231397368,1247.4276157782585,112.05245784305268,118.95608193454918
2016-08-11 04:00:00,1692.0236952195778,1406.5072350726286,126.34207441815974,134.12609098961713
2016-08-11 05:00:00,1594.246058938348,1325.2288503511882,119.04109545765422,126.37529401339388
2016-08-11 06:00:00,1347.971905524126,1120.5116353576136,100.65199871755743,106.85323318023269
2016-08-11 07:00:00,1305.619025637604,1085.3054901039413,97.48954259027964,103.49593609427502
2016-08-11 08:00:00,1168.625759831816,971.4288227402119,87.26036351192431,92.63653070512802
2016-08-11 09:00:00,1103.7892523512141,917.5329954382942,82.41907265041263,87.49696479576075
2016-08-11 10:00:00,1045.7501206548686,869.2875371277062,78.0853364759949,82.89622434463357
2016-08-11 11:00:00,967.8417366660809,804.5256156116922,72.26797890853328,76.72045563095837
2016-08-11 12:00:00,944.3123589513466,784.9666460263188,70.5110588378234,74.85529058320412
2016-08-11 13:00:00,904.0509793061341,751.4990758469021,67.5047733834976,71.66378594593573
2016-08-11 14:00:00,965.7502364247714,802.7870405374368,72.1118082355813,76.55466318226911
2016-08-11 15:00:00,1041.044245111922,865.3757432106316,77.73395246185292,82.52319133508273
2016-08-11 16:00:00,1084.9657501794263,901.8858197699952,81.0135365938447,86.00483275755732
2016-08-11 17:00:00,1157.64538356494,962.3013036003708,86.44046747892635,91.76612034950936
2016-08-11 18:00:00,1214.6387651406303,1009.6774743738309,90.69611831686808,96.2839645762919
