,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-12-17 04:00:00,2452.246100786917,1628.971257995737,781.1050704323821
2016-12-17 05:00:00,3097.9624228418525,2057.9059106428235,986.7827522344687
2016-12-17 06:00:00,2953.5679538718537,1961.987952127075,940.7893049133926
2016-12-17 07:00:00,2919.3757371992306,1939.2748409964292,929.898181953206
2016-12-17 08:00:00,2759.976050840526,1833.3892581715484,879.1251770740622
2016-12-17 09:00:00,2636.7364785168984,1751.5240158949046,839.8701223758354
2016-12-17 10:00:00,2550.8869560798803,1694.4961325524914,812.5247848714816
2016-12-17 11:00:00,2459.1337415555026,1633.546560957306,783.2989657049377
2016-12-17 12:00:00,2415.1020380706136,1604.2973027387045,769.2737066411001
2016-12-17 13:00:00,2416.5779610924537,1605.2777248018979,769.7438270566478
2016-12-17 14:00:00,2485.454368778313,1651.0307544175869,791.6827797822036
2016-12-17 15:00:00,2554.330776464173,1696.7837840332763,813.6217325077596
2016-12-17 16:00:00,2612.6297358268475,1735.510455529413,832.1914889218908
2016-12-17 17:00:00,2546.951161354974,1691.8816737173097,811.2711304300215
2016-12-17 18:00:00,2539.571546245775,1686.9795634013426,808.9205283522832
2016-12-17 19:00:00,2460.6096645773428,1634.526983020499,783.7690861204853
2016-12-17 20:00:00,2291.370491406373,1522.1052531076625,729.8619451376907
2016-12-17 21:00:00,2047.3512184621834,1360.0088053263632,652.1353697671497
2016-12-17 22:00:00,1768.4017673344513,1174.7090353828219,563.2826112286482
2016-12-17 23:00:00,1850.8074693871765,1229.4492672444503,589.5310010967241
2016-12-18 00:00:00,1828.4226368892716,1214.579532619351,582.4008414609184
2016-12-18 01:00:00,1850.5614822168698,1229.2858635672515,589.4526476941329
2016-12-18 02:00:00,1930.753299736835,1282.5554623340895,614.9958569388873
2016-12-18 03:00:00,2002.5815534663748,1330.2693360761655,637.8750504955384
2016-12-18 04:00:00,2530.2240337741223,1680.770223667785,805.943099053815
2016-12-18 05:00:00,3300.6558511745257,2192.550540654709,1051.3459559696762
2016-12-18 06:00:00,3117.149422125771,2070.651397464337,992.894317636588
2016-12-18 07:00:00,3050.7328861429773,2026.532404620637,971.7388989369448
2016-12-18 08:00:00,2904.8624941511384,1929.6340240416946,925.2753312003208
2016-12-18 09:00:00,2771.0454735043254,1840.7424236454985,882.6510801906694
2016-12-18 10:00:00,2679.046271809641,1779.6294483731137,853.3469076215341
2016-12-18 11:00:00,2562.202365913986,1702.012701703641,816.1290413906803
2016-12-18 12:00:00,2526.288239049216,1678.1557648326027,804.6894446123546
2016-12-18 13:00:00,2554.8227508047867,1697.110591387674,813.7784393129422
2016-12-18 14:00:00,2610.169864123781,1733.8764187574243,831.407954895978
2016-12-18 15:00:00,2688.3937842812934,1785.8387881066715,856.3243369200023
2016-12-18 16:00:00,2728.489693041276,1812.4735874900907,869.0959415423796
2016-12-18 17:00:00,2700.9391299669323,1794.1723756438148,860.3203604521572
2016-12-18 18:00:00,2680.2762076611734,1780.446466759108,853.7386746344904
2016-12-18 19:00:00,2600.5763644818217,1727.5036753466677,828.3521721949186
2016-12-18 20:00:00,2454.2139981493697,1630.2784874133279,781.7318976531121
2016-12-18 21:00:00,2192.975623283716,1456.7437822281063,698.5205841011822
2016-12-18 22:00:00,1899.266941937585,1261.6397916526316,604.9666214072046
2016-12-18 23:00:00,1850.5614822168698,1229.2858635672515,589.4526476941329
2016-12-19 00:00:00,1847.8556233434967,1227.4884231180633,588.5907602656288
2016-12-19 01:00:00,1861.384917710362,1236.4756253640023,592.9001974081486
2016-12-19 02:00:00,1928.5394152040753,1281.0848292392993,614.2906763155657
2016-12-19 03:00:00,2013.6509761301736,1337.6225015501154,641.4009536121456
2016-12-19 04:00:00,2644.1160936260976,1756.4261262108712,842.2207244535736
2016-12-19 05:00:00,3391.4251170176767,2252.8464975411,1080.2583615258554
2016-12-19 06:00:00,3091.0747820732668,2053.330607681255,984.5888569619133
2016-12-19 07:00:00,3002.273413592569,1994.3418802124552,956.3032786264642
2016-12-19 08:00:00,2889.119315251513,1919.1761887009657,920.2607134344795
2016-12-19 09:00:00,2732.4254877661824,1815.0880463252727,870.3495959838399
